model,repeat,case_id,task_class,tier,condition,condition_label,instruction,expected_command,raw_response,normalized_command,parsed_kind,parsed_value,valid,action_family_correct,parameter_correct,command_correct,executable_correct,diagnostic_command,diagnostic_method,diagnostic_command_correct,failure_class,latency_ms,error
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-d,decision_complexity,D1,en,English,"If your health is below 15, raise the shield; otherwise move forward.",M,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,13522.905,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-d,decision_complexity,D1,es_rioplatense,Rioplatense Spanish,"Si tenés menos de 15 puntos de salud, levantá el escudo; si no, avanzá.",M,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,413.732,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-health-d,decision_complexity,D1,es_standard,standardised Spanish,"Si tienes menos de 15 puntos de salud, levanta el escudo; si no, avanza.",M,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,393.105,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d4-priority-health-d,decision_complexity,D4,en,English,"Use this policy in order: if your health is below 10, raise the shield. Otherwise, if the opponent's shield is raised, move forward. Otherwise, fire.",B,S1,S1,shield_set,1.0,True,False,,False,False,S1,strict,False,action_error,1015.44,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d4-priority-health-d,decision_complexity,D4,es_rioplatense,Rioplatense Spanish,"Aplicá esta política en orden: si tenés menos de 10 puntos de salud, levantá el escudo. Si no, si el rival tiene el escudo levantado, avanzá. En cualquier otro caso, dispará.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,520.222,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d4-priority-health-d,decision_complexity,D4,es_standard,standardised Spanish,"Aplica esta política en orden: si tienes menos de 10 puntos de salud, levanta el escudo. Si no, si el rival tiene el escudo levantado, avanza. En cualquier otro caso, dispara.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,518.25,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-b,decision_complexity,D1,es_standard,standardised Spanish,"Si tienes el escudo levantado, bájalo; si no, dispara.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,936.941,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-b,decision_complexity,D1,es_rioplatense,Rioplatense Spanish,"Si tenés el escudo levantado, bajalo; si no, dispará.",B,S,S,shield_toggle,,True,False,,False,False,S,strict,False,action_error,332.268,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d1-shield-b,decision_complexity,D1,en,English,"If your shield is raised, lower it; otherwise fire.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,330.587,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-a,decision_complexity,D5,en,English,"Compute the horizontal distance between your x coordinate and the opponent's x coordinate. If it is at least 0.4, move forward 0.1; otherwise turn clockwise 90 degrees.",M0.1,M0.1,M0.1,move,0.1,True,True,True,True,True,M0.1,strict,True,correct,1378.535,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-a,decision_complexity,D5,es_standard,standardised Spanish,"Calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es de al menos 0.4, avanza 0.1; si no, gira 90 grados en sentido horario.",M0.1,B,B,shoot,,True,False,False,False,False,B,strict,False,action_error,520.196,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-a,decision_complexity,D5,es_rioplatense,Rioplatense Spanish,"Calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es de al menos 0.4, avanzá 0.1; si no, girá 90 grados en sentido horario.",M0.1,M0.1,M0.1,move,0.1,True,True,True,True,True,M0.1,strict,True,correct,714.271,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,decision_complexity,D3,es_standard,standardised Spanish,"Si tienes menos de 15 puntos de salud y el escudo está bajo, levanta el escudo; si no, dispara.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,1003.964,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,decision_complexity,D3,en,English,"If your health is below 15 and your shield is down, raise the shield; otherwise fire.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,393.48,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,decision_complexity,D3,es_rioplatense,Rioplatense Spanish,"Si tenés menos de 15 puntos de salud y el escudo está bajo, levantá el escudo; si no, dispará.",S1,S1,S1,shield_set,1.0,True,True,True,True,True,S1,strict,True,correct,397.88,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-d,decision_complexity,D3,es_standard,standardised Spanish,"Si exactamente uno de los dos escudos está levantado, avanza; si no, dispara.",B,B,B,shoot,,True,True,,True,True,B,strict,True,correct,934.577,
