model,repeat,case_id,policy_id,tier,condition,condition_label,instruction,expected_command,raw_response,normalized_command,valid,command_correct,action_family_correct,executable_correct,latency_ms,error
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_rioplatense,Rioplatense voseo,"Si los dos escudos están en el mismo estado, dispará; si no, avanzá.",M,B,B,True,False,False,False,12926.368,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,es_standard,Tuteo Spanish,"Si los dos escudos están en el mismo estado, dispara; si no, avanza.",M,B,B,True,False,False,False,326.42,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-b,D3-P2,D3,en,English,"If both shields are in the same state, fire; otherwise move forward.",M,B,B,True,False,False,False,340.14,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-b,D5-P2,D5,en,English,"Compute the horizontal distance between your x coordinate and the opponent's x coordinate. If it is below 0.4, turn clockwise 90 degrees; otherwise move forward 0.1.",C90.0,M0.1,M0.1,True,False,False,False,1115.804,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-b,D5-P2,D5,es_rioplatense,Rioplatense voseo,"Calculá la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, girá 90 grados en sentido horario; si no, avanzá 0.1.",C90.0,B,B,True,False,False,False,526.915,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-x-distance-b,D5-P2,D5,es_standard,Tuteo Spanish,"Calcula la distancia horizontal entre tu coordenada x y la coordenada x del rival. Si es menor que 0.4, gira 90 grados en sentido horario; si no, avanza 0.1.",C90.0,B,B,True,False,False,False,529.147,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-b,D2-P1,D2,es_standard,Tuteo Spanish,"Si tienes tanta o más salud que el rival, dispara; si no, levanta el escudo.",B,B,B,True,True,True,True,938.839,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-b,D2-P1,D2,en,English,"If your health is greater than or equal to the opponent's health, fire; otherwise raise the shield.",B,B,B,True,True,True,True,337.749,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d2-health-compare-b,D2-P1,D2,es_rioplatense,Rioplatense voseo,"Si tenés tanta o más salud que el rival, dispará; si no, levantá el escudo.",B,B,B,True,True,True,True,335.797,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-c,D3-P1,D3,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más o el escudo está levantado, dispara; si no, levanta el escudo.",B,B,B,True,True,True,True,748.751,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-c,D3-P1,D3,en,English,"If your health is 15 or higher or your shield is raised, fire; otherwise raise the shield.",B,B,B,True,True,True,True,334.585,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-c,D3-P1,D3,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más o el escudo está levantado, dispará; si no, levantá el escudo.",B,B,B,True,True,True,True,350.262,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-d,D5-P1,D5,es_standard,Tuteo Spanish,"Si no tienes al menos 10 puntos de salud más que el rival, levanta el escudo; si no, dispara.",B,S1,S1,True,False,False,False,1000.535,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-d,D5-P1,D5,en,English,"If your health is not at least 10 points higher than the opponent's health, raise the shield; otherwise fire.",B,S1,S1,True,False,False,False,408.442,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d5-health-difference-d,D5-P1,D5,es_rioplatense,Rioplatense voseo,"Si no tenés al menos 10 puntos de salud más que el rival, levantá el escudo; si no, dispará.",B,S1,S1,True,False,False,False,404.725,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-d,D3-P1,D3,en,English,"If your health is 15 or higher or your shield is raised, fire; otherwise raise the shield.",B,B,B,True,True,True,True,925.72,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-d,D3-P1,D3,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más o el escudo está levantado, dispara; si no, levanta el escudo.",B,B,B,True,True,True,True,357.242,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-d,D3-P1,D3,es_rioplatense,Rioplatense voseo,"Si tenés 15 puntos de salud o más o el escudo está levantado, dispará; si no, levantá el escudo.",B,B,B,True,True,True,True,336.667,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,en,English,"If both shields are in the same state, fire; otherwise move forward.",M,B,B,True,False,False,False,929.767,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,es_rioplatense,Rioplatense voseo,"Si los dos escudos están en el mismo estado, dispará; si no, avanzá.",M,B,B,True,False,False,False,336.285,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-xor-shields-c,D3-P2,D3,es_standard,Tuteo Spanish,"Si los dos escudos están en el mismo estado, dispara; si no, avanza.",M,B,B,True,False,False,False,331.148,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,D3-P1,D3,es_standard,Tuteo Spanish,"Si tienes 15 puntos de salud o más o el escudo está levantado, dispara; si no, levanta el escudo.",S1,B,B,True,False,False,False,939.263,
mistral-small3.2:24b-instruct-2506-q4_K_M,0,d3-conjunction-a,D3-P1,D3,en,English,"If your health is 15 or higher or your shield is raised, fire; otherwise raise the shield.",S1,B,B,True,False,False,False,337.192,
